Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
09/08/2012 0:00:00,,BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION,,"ABILA, Kronos - the thousands of people striped the roads Thursday in a posting of solidarity anti-government.

Among the demonstrators was Mestache Vardshvna, 23, of the Western coast of Kronos.   ""We try to obtain the attention of our government,"" it said.  ""It is important, thus I took leave of work to be part of this important event.""",,The Orb,,,
12/18/2013 0:00:00,,ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE,,"CENTRUM, Tethys - the president and PRESIDENT de GAStech international Sten Sanjorge, Jr. can add another description to its name: billionaire. And not only one billionaire, almost a billionaire surplus of twice like international sold shares of GAStech in a first public call to the saving.

International GAStech, founded in 1961 like Sanjorge exchanging by Sten Sanjorge, Sr., produces approximately 5 million cubic meters of gas of daily newspaper curve of Tiskele of site to its drilling of GAStech - of Kronos.",,The Light of Truth,,,
01/20/2014 0:00:00,,VOICES - a blog about what is important to the people,,"1018 - A fire alarm has gone off at GAStech headquarters.  People are evacuating the building, and so far no sign of Sanjorge or his executive staff.   Officials have asked reporters to move away from the building to allow the fire department access.  This has the flavor of yet another media ploy to avoid confrontation from the people of Kronos.  20 Jan 2014",,Homeland Illumination,,,
03/19/2007 0:00:00,,Four people have died in an enthusiastic discharge near Elodis,,"Of nine years - the old boy initially survived the discharge and flown to the hospital of children Abila, but had been explained on arrival.

The police force says they 25 to an one person whose birthday it is truck driver in preservation at the prison Elodis has.",,The Continent,,,
11/11/2012 0:00:00,,THE DEMONSTRATION ATTRACTS THOUSANDS IN SPITE OF RAIN,,"ABILA, Kronos - a heavy rain did not stop to thousands of citizens to assure its voices was heard last Wednesday.

An open microphone was installed in the common fields of the city with the loudspeakers installed around the area.  The POK leader Silvia Marek opened to assembly with a short speech that he indicated that the demands of the citizens of Kronos are nonnegotiable, and the civil employees of the government must and immediately unconditional institute a program of the responsibility of the government, proveído of personnel with the people chosen with a international-supervised vote of the citizens of Kronos, and will be responsible for the negligence of the money of the contributor.",,Daily Pegasus,,,
09/04/2013 0:00:00,,JR. SANJORGE TAKING WITH GASTECH THE INTERNATIONAL PUBLIC,,"CENTRUM, Tethys - after 52 years into private of possession, Sten Sanjorge, Jr. takes the GAStech company of exploration and production of international public natural gas.

With an eye towards becoming even more than one player of the world in gas industry, Sanjorge, Jr. is public going to produce working capital of exploitation for more international expansion and of exploration.",,The Light of Truth,,,
01/19/1993 0:00:00,,Government Announces Tax Incentives For Foreign Investment,,"ABILA, Kronos - Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country.",,News Online Today,,,
03/10/2012 0:00:00,,THREATS WHICH ARE SPENT BY POK,,"ABILA, Kronos - the letters which are claimed have been received for of the guards of Kronos (POK) its Vincent Kapelou, minister of health and cousin of president Kapelou. Threatening letters seems be the more empty threats of attention-aandacht-zoekende an organization and nothing.

M. said Kapelou, the chances are these are nothing, but we will take no chances. Nevertheless he the size of its personal security strength has doubled in reply to the letters.",,News Desk,,,
09/24/1994 0:00:00,,GASTECH'S EXPANSION REACHES THE SHORES OF KRONOS,,"ABILA, Kronos - The groundbreaking today at the Tiskele Bend site marks another flag planted in foreign soil by GAStech International. With the jobs, and the cheaper and cleaner fuel provided by GAStech you can begin to live the lives you deserve.""

On the heels of GAStech's expansion into Asteria, the Tiskele Bend site has the potential to dwarf any of GAStech's other gas fields. Conservative estimates of preliminary test well results place the Tiskele Bend field at least on par with the largest of GAStech's Tethan fields.",,Who What News,,,
01/21/2014 0:00:00,,ON SCENE BLOG,,the 1245 MODERNIZATION - I REDEEM DEMANDS FROM POK - the protections of Kronos has freed a supporting responsibility of declaration of the kidnapping of employs you of GAStech that they demand I redeem $20 million.,,Modern Rubicon,,,
01/20/2014 0:00:00,,KIDNAPPING IN GASTECH KRONOS,,"AVILA, Kronos - after a long day to be in conflict and the confused information of information continue being incompletos, only history is beginning to come clearly: a source of the government of Kronos has confirmed up to fourteen of GAStech that the international employees could be kidnapped in the headquarters of the company in Avila.

It continues being much speculation with respect who was taken in the kidnapping. The speculation includes if or international president of GAStech and jr. of the CEO Sten Sanjorge were not the target since international GAStech still must make a declaration to the speculation of the pressure on the motivation behind the kidnapping also has been wild due to recent GAStech IPO.",,The General Post,,,
11/12/2012 0:00:00,,POK DEMONSTRATIONS ON THE INCREASE,,"ABILA, Kronos – An increase in the frequency of demonstrations by the Protectors of Kronos have given rise to concerns from the Government of Kronos. Three recent demonstrations, in as many weeks, have drawn crowds of thousands in front of the capitol building.",,News Online Today,,,
05/26/2002 0:00:00,,DOCUMENTARY CARD OF PUBLIC HEALTH Of ELODIS 2002,,"ELODIS, Kronos - the center of health of the Community of Elodis published an update with health for all the study carried out in 1998.  The effects of acid displacement hyper of substrate (HASR), a technique of drilling discussed continue to devastate the health of the residents of Elodis.  The detailed report/ratio will be announced soon on the municipal Web site of Elodis.

Climaxes",,The Orb,,,
